Maine, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199010,46.8,2.5
199110,46.2,1.9
199210,41.8,-2.5
199310,40.4,-3.9
199410,45.9,1.6
199510,48.8,4.5
199610,43.3,-1.0
199710,43.2,-1.1
199810,45.2,0.9
199910,42.4,-1.9
200010,44.6,0.3
200110,47.1,2.8
200210,41.7,-2.6
200310,44.6,0.3
200410,45.5,1.2
200510,47.2,2.9
200610,44.9,0.6
200710,49.6,5.3
200810,44.2,-0.1
200910,41.2,-3.1
201010,45.2,0.9
201110,47.6,3.3
201210,48.2,3.9
201310,47.3,3.0
